,ANTONIO,BALTHASAR,BEATRICE,BENEDICK,BORACHIO,BOY,CLAUDIO,CONRADE,DOGBERRY,DONJOHN,FIRSTWATCHMAN,FRIAR,HERO,LEONATO,LEONATOBROTHER,MARGARET,MESSENGER,PRINCE,SEACOAL,SECONDWATCHMAN,SEXTON,URSULA,VERGES
ANTONIO,,,,,,,,,,,,,,,,,,,,,,3.0,
BALTHASAR,,,,1.0,,,,,,,,,,,,2.0,,5.0,,,,,
BEATRICE,,,,57.0,,,3.0,,,,,,6.0,14.0,3.0,7.0,8.0,6.0,,,,2.0,
BENEDICK,,,54.0,,,2.0,26.0,,,2.0,,5.0,1.0,8.0,2.0,7.0,1.0,26.0,,,,,
BORACHIO,,,,,,,,9.0,6.0,16.0,1.0,,,3.0,,,,2.0,2.0,,,,
BOY,,,,2.0,,,,,,,,,,,,,,,,,,,
CLAUDIO,,,2.0,27.0,,,2.0,,,9.0,,2.0,5.0,23.0,1.0,,,53.0,,,,,
CONRADE,,,,,11.0,,,,3.0,5.0,,,,,,,,,,,,,1.0
DOGBERRY,,,,,4.0,,1.0,5.0,,,5.0,,,12.0,,,,2.0,7.0,2.0,4.0,,10.0
DONJOHN,,,2.0,,15.0,,7.0,6.0,,,,,,2.0,,,,8.0,,,,,
FIRSTWATCHMAN,,,,,2.0,,,,3.0,,,,,,,,,,1.0,,1.0,,
FRIAR,,,1.0,1.0,,,,,,,,,3.0,10.0,,,,,,,,,
HERO,,,2.0,1.0,,,8.0,,,,,2.0,,2.0,,9.0,,5.0,,,,13.0,
LEONATO,,,16.0,10.0,2.0,,27.0,,11.0,1.0,,6.0,1.0,,9.0,,7.0,23.0,,,,,3.0
LEONATOBROTHER,,,1.0,,,,,,,,,,,16.0,,,,1.0,,,,,
MARGARET,,1.0,10.0,8.0,,,,,,,,,6.0,,,,,,,,,1.0,
MESSENGER,,,8.0,1.0,,,,,,,,,1.0,7.0,,,,,,,,,
PRINCE,,6.0,9.0,24.0,2.0,,50.0,,2.0,6.0,,1.0,7.0,21.0,4.0,,1.0,,,,,,
SEACOAL,,,,,2.0,,,,6.0,,1.0,,,,,,,,,,2.0,,
SECONDWATCHMAN,,,,,,,,,1.0,,,,,,,,,,,,,,1.0
SEXTON,,,,,,,,,3.0,,,,,,,,,,1.0,,,,3.0
URSULA,3.0,1.0,,1.0,,,,,,,,,13.0,,,1.0,,,,,,,
VERGES,,,,,,,,,17.0,,,,,1.0,,,,,,,,,
